addresses,projects,name,protocol
"['0xfb62ae373aca027177d1c18ee0862817f9080d08', '0x0e04bae8887fa27f6aa0ddb1f6082d9d5c6d8abd', '0x42981d0bfbaf196529376ee702f2a9eb9092fcb5', '0xefecd68f9549d47cbeca0a2fd9bd09cf4ec6a5d6', '0xd6e35bfcc3551f9e8514371ef0e719dbe58f24aa', '0xa941b1dd64d61d35a6640041d54d1e2f48bcd95c', '0xe56842ed550ff2794f010738554db45e60730371', '0xe4083c54d034239a24a4834cd458b0645e6e392d', '0xcf9f991b14620f5ad144eec11f9bc7bf08987622']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0xfdce4cafb167bf90c1ad397a2de8b45c64925f93', '0x80736f6ebec67c1ec26f01a4b0046868f1d606b5', '0x515d7e9d75e2b76db60f8a051cd890eba23286bc', '0xf02a7828f9f3284690a5415de1cd550b63e9abd6', '0x4fe92aac61712ab27ba145dfe8811c8f23d4bada', '0x10717e8fe9e0f88741d6fe5eac012d6fad98d575', '0x3209512d3177a145447184f137a73755673f8340', '0xe1bda0c3bfa2be7f740f0119b6a34f057bd58eba', '0xdac17f958d2ee523a2206206994597c13d831ec7']",[{'id': 'tether'}],Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x4123a133ae3c521fd134d7b13a2dec35b56c2463', '0xd50bd038465acd02c8f76964f41888fc5026d267', '0x1afc868f93203d8bd58f05cef6ee36e77cb4cf26', '0x3a7b25e01335982760eff4a06b828ed83cd50d37', '0x1099ac30cdc4159b7a8c4acca27aa14628d5a93f', '0xbf3cdfcc9dd541e12ab2115494581eeaeacaa6fa', '0xd189b20827d92107c43d7768a2618cc4701ca5ff', '0x4ae2cd1f5b8806a973953b76f9ce6d5fab9cdcfd', '0x9d4a40c2bfe12f719c610bcda725ba0e7212c4c0', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0x70fcec2e3cc58799bf580f8d4dad260b5cb822a5', '0x6b175474e89094c44da98b954eedeac495271d0f', '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce', '0x4cd79f50de4f04d9c5a847dafa8d840552c4eeaa', '0x92dbb8d1941ad41394b4db3d51454c56d42e0308']","[{'id': 'tether'}, {'id': 'makermcd'}, {'id': 'shib'}, {'id': 'qredo'}]",Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0xdac17f958d2ee523a2206206994597c13d831ec7', '0x80736f6ebec67c1ec26f01a4b0046868f1d606b5', '0xfdce4cafb167bf90c1ad397a2de8b45c64925f93', '0x4fe92aac61712ab27ba145dfe8811c8f23d4bada', '0xf02a7828f9f3284690a5415de1cd550b63e9abd6', '0xe1bda0c3bfa2be7f740f0119b6a34f057bd58eba', '0x515d7e9d75e2b76db60f8a051cd890eba23286bc', '0x10717e8fe9e0f88741d6fe5eac012d6fad98d575', '0x3209512d3177a145447184f137a73755673f8340']",[{'id': 'tether'}],Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0xa941b1dd64d61d35a6640041d54d1e2f48bcd95c', '0xe56842ed550ff2794f010738554db45e60730371', '0xcf9f991b14620f5ad144eec11f9bc7bf08987622', '0xd6e35bfcc3551f9e8514371ef0e719dbe58f24aa', '0x42981d0bfbaf196529376ee702f2a9eb9092fcb5', '0xefecd68f9549d47cbeca0a2fd9bd09cf4ec6a5d6', '0xe4083c54d034239a24a4834cd458b0645e6e392d', '0xfb62ae373aca027177d1c18ee0862817f9080d08', '0x0e04bae8887fa27f6aa0ddb1f6082d9d5c6d8abd']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x2f7e0a6277de9252978e475043acf1d512e2ec36', '0xfdce4cafb167bf90c1ad397a2de8b45c64925f93', '0x6ecea903ba649dc2b8decf5c88391d2553a0522f', '0x10717e8fe9e0f88741d6fe5eac012d6fad98d575', '0x3209512d3177a145447184f137a73755673f8340', '0x9a6b99eecdd2e49b04ef5978745db1e83dc929b8', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0x15d4c048f83bd7e37d49ea4c83a07267ec4203da', '0x4e08f03079c5cd3083ea331ec61bcc87538b7665']",[{'id': 'tether'}],Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x7a250d5630b4cf539739df2c5dacb4c659f2488d', '0x2309161a95338c2bd599aac99b83b1fe317dc020', '0xc35aa63320a9cf92eca455a8fba83717b1e85f99', '0x8331aafbe261c73ba4e0b885ce62e43ac07caaae', '0xc590d6449b0a0a5021f069e862378eecb65b9282', '0xb539e9a46d1dc0442891b737203529e1765da312', '0x3b164ee739345566e6cbf05ad4ef2e3f821c1fdb', '0xb12ca3dbf866da26b0f55a20a51fea8efd8592f9', '0xf0f9d895aca5c8678f706fb8216fa22957685a13', '0x54a9d63241b448e7e04dfdd6beb4cc6be70a282d', '0x55ac81186e1a8454c79ad78c615c43f54f87403b', '0x6b175474e89094c44da98b954eedeac495271d0f', '0x25129a6401ed4b4222c90e398cf5022639d3c76f', '0x4825d0c9d013ccd5866f16e825c052ed910fb8eb', '0x5281e311734869c64ca60ef047fd87759397efe6', '0x003f13d95ccbd7b8778ca66be31adf71add79ee6', '0x056354f3ff20743aa4c0da365603871c7000b081', '0xa741c18244804027b5f01f32203bbb3a94c2ebd9', '0xc22581540b49181fbc813108599764efecef9491', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0x16cda4028e9e872a38acb903176719299beaed87', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0x01b0c46304c93f07012914c98ee595a52cdb932b', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0x842b4a454e3a344d50c33e65300670a5b113a921', '0x8e516a4357d217405313e40b18357b82bb460917', '0x0831172b9b136813b0b35e7cc898b1398bb4d7e7', '0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0']","[{'id': 'makermcd'}, {'id': 'tether'}, {'id': 'coinbase'}, {'id': 'polygon'}, {'id': 'uniswap_v2'}]",Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0xd15ef401b1e3ed4329ec74d7ddbd062f7aadb950', '0xadcfc6bf853a0a8ad7f9ff4244140d10cf01363c', '0x78f5d389f5cdccfc41594abab4b0ed02f31398b3', '0x0000000000000000000000000000000000000000', '0xd6e35bfcc3551f9e8514371ef0e719dbe58f24aa', '0x55d398326f99059ff775485246999027b3197955', '0x6d3a160b86edcd46d8f9bba25c2f88cccade19fc', '0x77087ab5df23cfb52449a188e80e9096201c2097', '0xe4083c54d034239a24a4834cd458b0645e6e392d', '0xa941b1dd64d61d35a6640041d54d1e2f48bcd95c', '0xefecd68f9549d47cbeca0a2fd9bd09cf4ec6a5d6', '0x42981d0bfbaf196529376ee702f2a9eb9092fcb5', '0xcf9f991b14620f5ad144eec11f9bc7bf08987622', '0x2f1fbd5d7e6a563308202d31e7438d9bca023929', '0x4adb5f73003d6a9fd5a80e3b9a03e83c516deac2', '0xf5b4c1bdca415e1251c734cae1d190fbec97d45a', '0xab167e816e4d76089119900e941befdfa37d6b32']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x3d1aff0427aec96e75850309811215257753a37e', '0x8182ac1c5512eb67756a89c40fadb2311757bd32', '0xe9e7cea3dedca5984780bafc599bd69add087d56', '0x3244b3b6030f374bafa5f8f80ec2f06aaf104b64', '0x05e4974f396b365bc9bda3b277a6cff332e7e905', '0xf28bc535f22cfdc693291f07c163dd9662d25529', '0xb90e98fe359761fdaf7702d765fe5afc31fe5978']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x2f7e0a6277de9252978e475043acf1d512e2ec36', '0x4fe92aac61712ab27ba145dfe8811c8f23d4bada', '0x10717e8fe9e0f88741d6fe5eac012d6fad98d575', '0x3209512d3177a145447184f137a73755673f8340', '0x15d4c048f83bd7e37d49ea4c83a07267ec4203da', '0x6ecea903ba649dc2b8decf5c88391d2553a0522f', '0xe1bda0c3bfa2be7f740f0119b6a34f057bd58eba', '0xfdce4cafb167bf90c1ad397a2de8b45c64925f93', '0x4e08f03079c5cd3083ea331ec61bcc87538b7665', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0x9a6b99eecdd2e49b04ef5978745db1e83dc929b8']",[{'id': 'tether'}],Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x3d1aff0427aec96e75850309811215257753a37e', '0x775323ea0220e9e177503762c7781a3385dfff87', '0x05e4974f396b365bc9bda3b277a6cff332e7e905', '0x1d1cb8997570e73949930c01fe5796c88d7336c6', '0xe9e7cea3dedca5984780bafc599bd69add087d56', '0xf28bc535f22cfdc693291f07c163dd9662d25529', '0xb90e98fe359761fdaf7702d765fe5afc31fe5978', '0x8182ac1c5512eb67756a89c40fadb2311757bd32', '0x3244b3b6030f374bafa5f8f80ec2f06aaf104b64']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
