from,collection,total_lost
\xfb877173b8e64521f25cac8f25182fd4d06bb627,Ethereum Name Service (ENS),9
\xa3548e0a11a8e1614a2e6d16272b6d6d56b412b4,KIWAMI Genesis,9
\x5baf1e79a8098e9087b51ae494dcb92fe10fcc06,Okay Bears Yacht Club,9
\x81dabef13b7c4db084bba4dde0dfa235e6913afc,The Lobstars,9
\x43176e8070b6b48688e190c90958b3367af5a496,Ninja Squad,9
\x661354f8d7e5eef252becfaff85782359703a7dc,Ethereum Name Service (ENS),8
\x959e104e1a4db6317fa58f8295f586e1a978c297,Decentraland,8
\xf46be5914c4ac143273e601f1784164ffbc9fa36,WonderPals,8
\x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,Flyfish Club,8
\xb7ca57344dde875ee0566b702f005dace7d6d9be,Chain Runners,8
\x3b296b2102d443a5c51d338409b0082da3e23574,VOX Collectibles: The Walking Dead,8
\x7e2b6a9227554f4e217c591a34df023124b4a83c,HUXLEY Comics,8
\xabd4f7008003dbc655482cee038ba3870014f82e,VeeCon  Tickets,8
\xc5507bc5597a7707b52b1745c940ac1c13ad88f6,My Pet Hooligan,8
\xf5179b7758d19d3f34131aa17401743399ab5b42,ill poop it nft,8
\x45fa07fb686fb804fcf8c0dbfcadb9410fc8deca,MPL Official,8
\x94050755a0bc8a02a29f2df7a3a758e07213bce1,Ethereum Name Service (ENS),8
\x255f717704da11603063174e5bc43d7881d28202,Ethereum Name Service (ENS),8
\xbb34d08c67373e54f066e6e7e6c77846ff7d2714,Akutars,8
\x2f02570f8282fa71e0c27f6a6660efedf853afdd,AINightbirds,8
\x22b14dc7f0ceea32e9968395017f65dc722b2367,Elftown.wtf,8
\x3d96e6dd529461748a85eaa2876a50d2b9008109,Fragments By James Jean,8
\xdd770f91c9c7b2422f8702943ef6a3efb02ae7b3,Ethereum Name Service (ENS),8
\x2ce993a361af4621a9eae8372c2c9a6eee5c2cd6,Laid Back Llamas,8
\xea506b8fc831e13cd5aa325d2cbd124812cadff3,Ethereum Name Service (ENS),8
\x6356f1593aa11664c8044b2a22996dca59f5ca35,Meta Eagle Club,8
\x2c8f8e34dc15cc03e329caaf63e9d866eb485325,CryptoNinja Partners,8
\x44d8882753da68f3281574e7dfc6b2836deb8e91,The Walking Dead Official,8
\x327c287708467aa00e4984ef739fc31773eb8a2f,DEGEN TOONZ COLLECTION,8
\x72a0f106e274cf026047cceb6bda5027000d841b,DuskBreakers,8
