addresses,projects,name,protocol
"['0x00000000000e1d0dabf7b7c7b68866fc940d0db8', '0x4c5c2dd90634ec51d2a912314ccf8ab7046291c9', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0x1fcc3e6f76f7a96cd2b9d09f1d3c041ca1403c57', '0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', '0x20e95253e54490d8d30ea41574b24f741ee70201', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0x69d91b94f0aaf8e8a2586909fa77a5c2c89818d5', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']","[{'id': 'hex'}, {'id': 'coinbase'}, {'id': 'zeroex'}, {'id': 'uniswap_v3'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
"['0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5', '0x20e95253e54490d8d30ea41574b24f741ee70201', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0x344f093e08138695fefb0947c6ddde39acddca4f', '0xd7c09e006a2891880331b0f6224071c1e890a98a', '0xa478c2975ab1ea89e8196811f51a7b7ade33eb11', '0x6b175474e89094c44da98b954eedeac495271d0f']","[{'id': 'uniswap_v2'}, {'id': 'makermcd'}, {'id': 'coinbase'}, {'id': 'uniswap_v2'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
"['0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xd7c09e006a2891880331b0f6224071c1e890a98a', '0x703ad4b9434850c2b275cd874d60359b656fd63e', '0xf7d31825946e7fd99ef07212d34b9dad84c396b7', '0xefb47fcfcad4f96c83d4ca676842fb03ef20a477', '0x9813037ee2218799597d83d4a5b6f3b6778218d9']","[{'id': 'shibaswap'}, {'id': 'uniswap_v2'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
"['0xd7c09e006a2891880331b0f6224071c1e890a98a', '0x1cac7a07e8cb87b73d94747028845638d55d3fde', '0x57ab5aeb8bac2586a0d437163c3eb844246336ce', '0x87da823b6fc8eb8575a235a824690fda94674c88', '0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b', '0x09a3ecafa817268f77be1283176b946c4ff2e608', '0xa47c8bf37f92abed4a126bda807a7b7498661acd', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']","[{'id': 'uniswap_v2'}, {'id': 'uniswap_v2'}, {'id': 'mirror_protocol'}, {'id': 'zeroex'}, {'id': 'sushi'}]",Flashloan detected,ethereum
"['0x09a3ecafa817268f77be1283176b946c4ff2e608', '0xa47c8bf37f92abed4a126bda807a7b7498661acd', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xd7c09e006a2891880331b0f6224071c1e890a98a', '0x1cac7a07e8cb87b73d94747028845638d55d3fde', '0x57ab5aeb8bac2586a0d437163c3eb844246336ce', '0x87da823b6fc8eb8575a235a824690fda94674c88', '0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b']","[{'id': 'uniswap_v2'}, {'id': 'uniswap_v2'}, {'id': 'mirror_protocol'}, {'id': 'sushi'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
"['0x557b933a7c2c45672b610f8954a3deb39a51a8ca', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xd7c09e006a2891880331b0f6224071c1e890a98a', '0x1abcb084a37eebefd3dc59946f60ee898faf52c5', '0xf68d0d896cc3b6ea1872f80c143b9a4026caa77a', '0xa23e1f551cfeac9ff762d351010136fafc3008e9', '0x724d5c9c618a2152e99a45649a3b8cf198321f46', '0xd9016a907dc0ecfa3ca425ab20b6b785b42f2373']","[{'id': 'sushi'}, {'id': 'animoca'}, {'id': 'uniswap_v2'}, {'id': 'zeroex'}, {'id': 'uniswap_v2'}]",Flashloan detected,ethereum
"['0x60a39010e4892b862d1bb6bdde908215ac5af6f3', '0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9', '0x00000000a991c429ee2ec6df19d40fe0c80088b8', '0x77ad3a15b78101883af36ad4a875e17c86ac65d1', '0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2']","[{'id': 'luna'}, {'id': 'sushi'}, {'id': 'uniswap_v2'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
"['0xa3b432f55b3e0c70017acac40ffb7ab8a9748887', '0x7948fc07021ce14eff58b357e31fcc3904176d4c', '0x5ef30b9986345249bc32d8928b7ee64de9435e39', '0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e', '0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5', '0x000000000000000000003de78ec19256a5b00000', '0x00000000000000000000000001d6ab75137920c8', '0x0eed07ced0c8c36d4a5bff44f2536422bb09be45', '0x0000000000000000000000000000000000000003', '0x0000000000000000000000000000000000005f49', '0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f', '0xa950524441892a31ebddf91d3ceefa04bf454466', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0x52305c065579a8a620690cc39394514af905ff42', '0x82ecd135dce65fbc6dbdd0e4237e0af93ffd5038', '0x0000000000000000000000000000002208497581', '0x0000000000000000000000000000000000000000', '0xa81598667ac561986b70ae11bbe2dd5348ed4327', '0x6b175474e89094c44da98b954eedeac495271d0f', '0x89b78cfa322f6c5de0abceecab66aee45393cc5a', '0x0cc107f646fe778c60cd8cc113bd16090c03847d', '0x6fdae9edacc6461b21f71a1a6a420197d2b0c3aa', '0x56e7d4520abfecf10b38368b00723d9bd3c21ee1', '0x35d1b3f3d7966a1dfe207aa4514c12a259a0492b', '0x9759a6ac90977b93b58547b4a71c78317f391a28', '0x1bc9df10a0ebf0104e4b58ac3c65c3859474d3aa', '0x0a59649758aa4d66e25f08dd01271e891fe52199', '0x000000000000000000001ef3c760ca14277d1000', '0x7a250d5630b4cf539739df2c5dacb4c659f2488d', '0x0000000000000000000000000000000000000040', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf']","[{'id': 'coinbase'}, {'id': 'makermcd'}, {'id': 'makermcd'}, {'id': 'uniswap_v2'}, {'id': 'makermcd'}, {'id': 'uniswap_v2'}, {'id': 'uniswap_v2'}, {'id': 'dydx'}, {'id': 'makermcd'}, {'id': 'makermcd'}, {'id': 'makermcd'}]",Flashloan detected,ethereum
"['0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xd7c09e006a2891880331b0f6224071c1e890a98a', '0x3ba8ef9af9810d87926a516f1a97dc9b0a51748d', '0x2a529766847129f8cc13cebc6b7dfe89ee49d55c', '0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e']","[{'id': 'uniswap_v2'}, {'id': 'zeroex'}]",Flashloan detected,ethereum
"['0xef71c8eda2af16660331ebb512ba371d4f7b75ab', '0xcc7fe1a92ef208264e34c352a7c50fafb1d98a93', '0xef6f495c3d37aedb7a2368b9ddf45192cb647fb1', '0xa558ea1a875f8b576f0728d32c39f62158e49b92', '0x8516549bbf6458bab9f4b0650eac2bdb9d77beab', '0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9', '0xfc3923367ac21284abdd1577e353ff8968612b2c', '0x34a6e4ac4963bc7bf4d4fbf2c81aed2332c2ae76', '0xc6845a5c768bf8d7681249f8927877efda425baf', '0xdef1c0ded9bec7f1a1670819833240f027b25eff', '0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5', '0xd06a45bb4e1fbfcf0e1271bc5189ebfffe8bb566', '0x58e327d64fc77fa36f698989623c3e4f058c8a89', '0x030ba81f1c18d280636f32af80b9aad02cf0854e', '0x062fb4be356cb15e1dc5cea2bdcd8ccb310f4ec9', '0xf63b34710400cad3e044cffdcab00a0f32e33ecf', '0x61f484a913f8778910bc0172ef4f4380076fdc3f', '0xadb0739822374a05653f513683ddbeba3cc81f2e', '0x8a32f49ffba88aba6eff96f45d8bd1d4b3f35c7d', '0x8e10d38347ccb1abcb3017f0dcf29fd6eb38993c', '0x541dcd3f00bcd1a683cc73e1b2a8693b602201f4', '0xb70077b9dc90ed11598e3b1e31244ca5aa56ee94', '0x5090a36d82122f551878ff8fd7e555761215d2ae', '0x0849919423c81202976b1cbd1feeecffcb8af8e3', '0xec368d82cb2ad9fc5efaf823b115a622b52bcd5f', '0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c', '0x6ea059b03055637b01e1d87b6c7a4f2edb317800', '0x332ea16d2a22f90ca504f1342d4172c63670e264', '0xfce6e90a2b8ce834215c3101ebe4f8c1ab5fe7e4', '0xb53c1a33016b2dc2ff3653530bff1848a515c8c5', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0x485bfdac11da8db0d6c699d8cf0a35c6936b93ef', '0x82f40995c74ad07bc3fe78ec5d6493d7c0fc84e1', '0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', '0x4e977830ba4bd783c0bb7f15d3e243f73ff57121', '0x1fcc3e6f76f7a96cd2b9d09f1d3c041ca1403c57', '0x0000000000000000000000000000000000000000', '0x1ad91ee08f21be3de0ba2ba6918e714da6b45836', '0x79b31feccd1a4f5ec791b80936b257514fc0cd24', '0x301145eb6e91e4149c94fadb52b1757a89eafb83', '0x4fc055a8d5622be1efebac1530821e8e6e4a4ac8', '0x0000000000000000000000000000000000000001', '0x2f82f0573543df16eb0b3172b1f03165521d0db6', '0x5ab1cf39002c1c94fb7ff31c03dc65dd29be9447', '0xd9ed413bcf58c266f95fe6ba63b13cf79299ce31', '0xa2c324ec1787e19b9933d7cb778642eb90e035d5', '0xddde1fa049209bc24b69d5fa316a56efec918d79', '0x689209519e78947d52b862748e059fad1238d689']","[{'id': 'gnosis_safe'}, {'id': 'hex'}, {'id': 'zeroex'}, {'id': 'aave_v2'}, {'id': 'aave_v2'}, {'id': 'zeroex'}, {'id': 'aave_v2'}, {'id': 'aave_v2'}]",Flashloan detected,ethereum
