block_time,victim_address,bad_actor_address,tx_hash
2022-08-21T06:27:05+00:00,0x71bb0d6fb740d052bd3cb3db600c0be6bf9a0b41,0x727a4bfe7fb2f70c218a2408709651706ec60a81,0x87f29f8f894332ed21e1b2a48ca1c48280af32966944d8e729e0ab8f920df07b
2022-07-14T04:02:05+00:00,0x15c853bdafc9132544a10ed222aeab1f239414fe,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0xa5d312ecaef63c9f6a7f91478dca4d8fcaf35d38a5d1d300f447c755d61db33f
2022-07-14T03:39:25+00:00,0xecc6b71b294cd4e1baf87e95fb1086b835bb4eba,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x3682a36b9e832af23409beb06f90ea9228846fd025d2fd04ccf110022874330c
2022-07-14T03:36:04+00:00,0xecc6b71b294cd4e1baf87e95fb1086b835bb4eba,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0xa0e77684f082f3c774668e63fbbe8568a4afe18777db2c2f579e30bcbac6b2a9
2022-07-12T10:46:31+00:00,0xf21ef71bb86a9ed406d6fcb19ab8041e7323798a,0x727a4bfe7fb2f70c218a2408709651706ec60a81,0x04b86d4f2d55f9b3e4d77b120312dac51529e833273a12a88a10b37e5eb0bd15
2022-07-12T10:46:14+00:00,0xf21ef71bb86a9ed406d6fcb19ab8041e7323798a,0x727a4bfe7fb2f70c218a2408709651706ec60a81,0x3145d8c2ababb168c1c2dc1f6cf79be62e91a7a17f9b268e15017a3e8f58ffe5
2022-07-11T21:08:30+00:00,0xe166f88a4508d55a76e763be8ae702bab1c0ddf6,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x1adb3d9e57901f9c410ade3ce366ab0f4da772af18f960ddecb6c050fd400bce
2022-07-11T20:55:56+00:00,0x39a51c428a70a5e01421be9ec596f529845050b4,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0xfbb0bd7f9993cef633af2ea73d9e2e6583093e59e003ea184ba8caad1da27395
2022-07-11T20:54:52+00:00,0x39a51c428a70a5e01421be9ec596f529845050b4,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0xc3242aa5fda45079b8647afdcd5946327b43a52a625ddd110c771984b672a978
2022-07-11T20:54:52+00:00,0x39a51c428a70a5e01421be9ec596f529845050b4,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x4e163ec47b230c8391f6abcb8afbbd3b67871059fdd0b081693c40e14e51f84d
